# frequency_cm-1 intensity
  174.945247 1.001697542583e-01
  175.919804 9.184552761427e-02
  176.894360 8.347968824053e-02
  177.868917 7.532692931984e-02
  178.843474 6.760703396718e-02
  179.818030 6.049680712327e-02
  180.792587 5.412537028638e-02
  181.767144 4.857280351659e-02
  182.741700 4.387186878746e-02
  183.716257 4.001235355752e-02
  184.690814 3.694744229956e-02
  185.665370 3.460145709768e-02
  186.639927 3.287830015158e-02
  187.614484 3.166997082150e-02
  188.589040 3.086460571405e-02
  189.563597 3.035359052851e-02
  190.538154 3.003740674927e-02
  191.512710 2.982999653474e-02
  192.487267 2.966154883646e-02
  193.461824 2.947972359402e-02
  194.436381 2.924943405720e-02
  195.410937 2.895139527883e-02
  196.385494 2.857971505655e-02
  197.360051 2.813884794979e-02
  198.334607 2.764025038567e-02
  199.309164 2.709906403767e-02
  200.283721 2.653111680302e-02
  201.258277 2.595046976930e-02
  202.232834 2.536766110122e-02
  203.207391 2.478871231776e-02
  204.181947 2.421487842097e-02
  205.156504 2.364304989875e-02
  206.131061 2.306665927820e-02
  207.105617 2.247691254820e-02
  208.080174 2.186415805148e-02
  209.054731 2.121922068018e-02
  210.029287 2.053456279400e-02
  211.003844 1.980517856693e-02
  211.978401 1.902917788221e-02
  212.952958 1.820806212802e-02
  213.927514 1.734673131119e-02
  214.902071 1.645328588064e-02
  215.876628 1.553869603643e-02
  216.851184 1.461640695285e-02
  217.825741 1.370193306379e-02
  218.800298 1.281247242931e-02
  219.774854 1.196654782398e-02
  220.749411 1.118365895564e-02
  221.723968 1.048391373892e-02
  222.698524 9.887598244378e-03
  223.673081 9.414645925491e-03
  224.647638 9.083976800357e-03
  225.622194 8.912695114717e-03
  226.596751 8.915157431781e-03
  227.571308 9.101949258524e-03
  228.545864 9.478834041471e-03
  229.520421 1.004576035138e-02
  230.494978 1.079602817200e-02
  231.469535 1.171572067673e-02
  232.444091 1.278350170375e-02
  233.418648 1.397086035146e-02
  234.393205 1.524285307223e-02
  235.367761 1.655935224253e-02
  236.342318 1.787676190882e-02
  237.316875 1.915011112369e-02
  238.291431 2.033538882622e-02
  239.265988 2.139194769746e-02
  240.240545 2.228478339428e-02
  241.215101 2.298649415574e-02
  242.189658 2.347874589908e-02
  243.164215 2.375310877011e-02
  244.138771 2.381118902453e-02
  245.113328 2.366404888862e-02
  246.087885 2.333097867265e-02
  247.062441 2.283775114711e-02
  248.036998 2.221453980658e-02
  249.011555 2.149371362236e-02
  249.986112 2.070772739797e-02
  250.960668 1.988730833543e-02
  251.935225 1.906009867710e-02
  252.909782 1.824985699194e-02
  253.884338 1.747625452482e-02
  254.858895 1.675523656524e-02
  255.833452 1.609986013294e-02
  256.808008 1.552147494643e-02
  257.782565 1.503108871217e-02
  258.757122 1.464075142299e-02
  259.731678 1.436480491010e-02
  260.706235 1.422086932036e-02
  261.680792 1.423047195852e-02
  262.655348 1.441926008053e-02
  263.629905 1.481677244653e-02
  264.604462 1.545577102618e-02
  265.579018 1.637115267539e-02
  266.553575 1.759847172233e-02
  267.528132 1.917211112799e-02
  268.502689 2.112314646953e-02
  269.477245 2.347695794660e-02
  270.451802 2.625066450717e-02
  271.426359 2.945048254368e-02
  272.400915 3.306914806067e-02
  273.375472 3.708358122939e-02
  274.350029 4.145300847066e-02
  275.324585 4.611778048569e-02
  276.299142 5.099912560581e-02
  277.273699 5.600004875285e-02
  278.248255 6.100752307328e-02
  279.222812 6.589602489927e-02
  280.197369 7.053233992043e-02
  281.171925 7.478143176433e-02
  282.146482 7.851303032076e-02
  283.121039 8.160848486728e-02
  284.095595 8.396735423385e-02
  285.070152 8.551318681676e-02
  286.044709 8.619798457743e-02
  287.019266 8.600494633673e-02
  287.993822 8.494923714787e-02
  288.968379 8.307671516560e-02
  289.942936 8.046074288706e-02
  290.917492 7.719739167207e-02
  291.892049 7.339949454737e-02
  292.866606 6.919009503549e-02
  293.841162 6.469586926321e-02
  294.815719 6.004106378808e-02
  295.790276 5.534239984261e-02
  296.764832 5.070526039413e-02
  297.739389 4.622131834499e-02
  298.713946 4.196760258419e-02
  299.688502 3.800685221526e-02
  300.663059 3.438889308110e-02
  301.637616 3.115269435451e-02
  302.612172 2.832873037063e-02
  303.586729 2.594128262011e-02
  304.561286 2.401036324952e-02
  305.535843 2.255301609513e-02
  306.510399 2.158384445494e-02
  307.484956 2.111471661572e-02
  308.459513 2.115370143002e-02
  309.434069 2.170337891422e-02
  310.408626 2.275874802063e-02
  311.383183 2.430500965189e-02
  312.357739 2.631553294675e-02
  313.332296 2.875031343392e-02
  314.306853 3.155520101875e-02
  315.281409 3.466211434265e-02
  316.255966 3.799036907162e-02
  317.230523 4.144913762562e-02
  318.205079 4.494093656008e-02
  319.179636 4.836591783172e-02
  320.154193 5.162663570738e-02
  321.128749 5.463288616492e-02
  322.103306 5.730618215002e-02
  323.077863 5.958344358249e-02
  324.052420 6.141954719092e-02
  325.026976 6.278849287404e-02
  326.001533 6.368308838909e-02
  326.976090 6.411321532163e-02
  327.950646 6.410289587026e-02
  328.925203 6.368651112018e-02
  329.899760 6.290460927102e-02
