# mode   freq(cm-1)        dmu_x          dmu_y          dmu_z          |dmu|^2         legacy_x      legacy_x^2       legacy_y      legacy_y^2       legacy_z      legacy_z^2
  40      1004.72      -0.370688       0.317328       0.052771     0.240891713611      -0.370688     0.137409615884       0.317328     0.100697331055       0.052771     0.002784766672
  41       994.69      -0.277515       0.213259       0.457784     0.332060342032      -0.277515     0.077014801207       0.213259     0.045479402781       0.457784     0.209566138044
  42       940.68       0.387302       0.401215       0.416925     0.484802901488       0.387302     0.150002751885       0.401215     0.160973289162       0.416925     0.173826860441
  43       898.45      -0.275236       0.129684      -0.270249     0.165607696094      -0.275236     0.075755076862       0.129684     0.016817946883      -0.270249     0.073034672350
  44       896.41       0.401383       0.202739       0.088204     0.209991583050       0.401383     0.161108684660       0.202739     0.041103022472       0.088204     0.007779875918
  45       831.15       0.511593       0.259885      -0.280217     0.407788504214       0.511593     0.261727038977       0.259885     0.067539960363      -0.280217     0.078521504874
  46       816.43       0.065550      -0.491778       0.139710     0.265661594232       0.065550     0.004296796148      -0.491778     0.241846031687       0.139710     0.019518766397
  47       771.38      -0.400342       0.416289       0.051607     0.336233442372      -0.400342     0.160273684382       0.416289     0.173296431170       0.051607     0.002663326820
  48       758.24      -0.221071      -0.224491      -0.413352     0.270128520665      -0.221071     0.048872377082      -0.224491     0.050396043113      -0.413352     0.170860100470
  49       664.35      -0.080305      -0.284417      -0.288414     0.170524453407      -0.080305     0.006448852218      -0.284417     0.080893182350      -0.288414     0.083182418838
  50       651.03      -0.330876      -0.117165       0.046814     0.125398394848      -0.330876     0.109479204707      -0.117165     0.013727676128       0.046814     0.002191514012
  51       574.14      -0.030955       0.035113      -0.129336     0.018918778823      -0.030955     0.000958204279       0.035113     0.001232893021      -0.129336     0.016727681524
  52       556.10       0.123337      -0.294529       0.137203     0.120784255164       0.123337     0.015211965599      -0.294529     0.086747606041       0.137203     0.018824683524
  53       537.24       0.116763      -0.388252      -0.313657     0.262753840130       0.116763     0.013633529473      -0.388252     0.150739497921      -0.313657     0.098380812736
  54       521.56       0.035889      -0.014453      -0.144573     0.022398204712       0.035889     0.001288027130      -0.014453     0.000208874762      -0.144573     0.020901302821
  55       505.73      -0.240366      -0.258950      -0.323110     0.229231182359      -0.240366     0.057776001973      -0.258950     0.067055126278      -0.323110     0.104400054109
  56       487.78      -0.280026      -0.049347       0.096098     0.090084137858      -0.280026     0.078414293877      -0.049347     0.002435087718       0.096098     0.009234756262
  57       483.77      -0.299883      -0.041597       0.056822     0.094888925321      -0.299883     0.089929845909      -0.041597     0.001730315275       0.056822     0.003228764137
  58       418.49       0.166139      -0.094017      -0.035907     0.037730802201       0.166139     0.027602257625      -0.094017     0.008839199118      -0.035907     0.001289345459
  59       395.37      -0.231489       0.341602      -0.269237     0.242767781140      -0.231489     0.053587201470       0.341602     0.116692156180      -0.269237     0.072488423490
  60       366.46      -0.262482      -0.120941      -0.077607     0.089546372054      -0.262482     0.068896739953      -0.120941     0.014626832974      -0.077607     0.006022799127
  61       337.97       0.010619       0.129056       0.310994     0.113485088107       0.010619     0.000112758888       0.129056     0.016655366618       0.310994     0.096716962601
  62       324.49      -0.006448       0.219000       0.354707     0.173819581772      -0.006448     0.000041578822       0.219000     0.047960991534       0.354707     0.125817011417
  63       322.85      -0.122075       0.218308       0.169965     0.091448681571      -0.122075     0.014902381958       0.218308     0.047658197129       0.169965     0.028888102484
  64       303.51       0.099335      -0.187719      -0.121450     0.059856236989       0.099335     0.009867525342      -0.187719     0.035238567550      -0.121450     0.014750144098
  65       297.09       0.505108       0.080034       0.188807     0.297187409126       0.505108     0.255133929365       0.080034     0.006405507558       0.188807     0.035647972203
  66       286.06       0.052303      -0.008827      -0.471669     0.225285012962       0.052303     0.002735646693      -0.008827     0.000077908174      -0.471669     0.222471458095
  67       275.40       0.464103      -0.074323       0.172344     0.250617896722       0.464103     0.215391633675      -0.074323     0.005523881723       0.172344     0.029702381324
  68       267.24       0.244078       0.058527      -0.044514     0.064980955380       0.244078     0.059574122212       0.058527     0.003425358426      -0.044514     0.001981474742
  69       257.74      -0.189969      -0.182960      -0.162372     0.095927144694      -0.189969     0.036088361005      -0.182960     0.033474235424      -0.162372     0.026364548265
  70       242.43       0.207068       0.200185       0.252303     0.146607890510       0.207068     0.042877044348       0.200185     0.040073910067       0.252303     0.063656936095
  71       220.22       0.032133       0.060435      -0.086433     0.012155513927       0.032133     0.001032536973       0.060435     0.003652361578      -0.086433     0.007470615376
  72       216.90      -0.027761      -0.389275       0.107850     0.163937384050      -0.027761     0.000770698627      -0.389275     0.151535132043       0.107850     0.011631553380
  73       207.50       0.212409      -0.278274      -0.191994     0.159415709991       0.212409     0.045117774811      -0.278274     0.077436253391      -0.191994     0.036861681789
  74       206.19      -0.238134      -0.118163       0.075130     0.076315054135      -0.238134     0.056707999628      -0.118163     0.013962521298       0.075130     0.005644533210
  75       192.27      -0.097418       0.070674       0.265605     0.085031359531      -0.097418     0.009490237240       0.070674     0.004994854654       0.265605     0.070546267638
  76       181.89      -0.411808      -0.047553      -0.042214     0.173628784381      -0.411808     0.169585471478      -0.047553     0.002261289621      -0.042214     0.001782023281
  77       168.09       0.064369       0.048728       0.627547     0.400332885360       0.064369     0.004143355669       0.048728     0.002374424536       0.627547     0.393815105156
  78       129.62       0.393395      -0.505597      -0.242495     0.469192212690       0.393395     0.154759388065      -0.505597     0.255628781370      -0.242495     0.058804043254
  79       119.83       0.172653      -0.194452       0.021432     0.068079920041       0.172653     0.029809135575      -0.194452     0.037811450643       0.021432     0.000459333823
  80       113.04      -0.025953       0.132677       0.234821     0.073417810089      -0.025953     0.000673582109       0.132677     0.017603145998       0.234821     0.055141081982
  81       110.96      -0.381463      -0.402822       0.168914     0.336311704227      -0.381463     0.145514376778      -0.402822     0.162265376212       0.168914     0.028531951238
  82       102.85       0.076831      -0.122032      -0.195385     0.058970162830       0.076831     0.005903047824      -0.122032     0.014891712111      -0.195385     0.038175402894
  83        96.13      -0.274994      -0.268504      -0.094573     0.156660157882      -0.274994     0.075621573307      -0.268504     0.072094600879      -0.094573     0.008943983697
  84        81.35       0.225369       0.001334       0.047703     0.053068397432       0.225369     0.050791057644       0.001334     0.000001779056       0.047703     0.002275560733
  85        78.67       0.267973      -0.114578       0.049633     0.087401054749       0.267973     0.071809425514      -0.114578     0.013128176430       0.049633     0.002463452806
  86        69.86       0.076552       0.155953      -0.157665     0.055039656997       0.076552     0.005860274406       0.155953     0.024321225122      -0.157665     0.024858157470
  87        60.15       0.539842      -0.147612      -0.032041     0.314245564546       0.539842     0.291429592719      -0.147612     0.021789326908      -0.032041     0.001026644919
  88        29.31       0.526245      -0.565942      -0.148717     0.619340248588       0.526245     0.276933559186      -0.565942     0.320289966391      -0.148717     0.022116723011
  89        22.50       0.382336       0.637732      -0.634391     0.955334508391       0.382336     0.146180443906       0.637732     0.406701742612      -0.634391     0.402452321874
  90       -20.92      -0.246784      -0.896720      -1.400849     2.827389025019      -0.246784     0.060902250387      -0.896720     0.804107543439      -1.400849     1.962379231194
  91       -37.83      -0.954394      -0.014862       0.000696     0.911090054210      -0.954394     0.910868700815      -0.014862     0.000220869186       0.000696     0.000000484208
  92       -73.18       0.455377       0.084599      -0.283883     0.295114833460       0.455377     0.207368090137       0.084599     0.007156965062      -0.283883     0.080589778262
  93       -78.08      -0.294607       0.472864      -0.083692     0.317397817849      -0.294607     0.086793510111       0.472864     0.223599908208      -0.083692     0.007004399529

# Summary
# NIONS  = 31
# DOF    = 93
# NFREE  = 2
# POTIM  = 0.015
# IDIPOL = 4
# dipoles parsed = 187
